Problem;BestResult;Best; Age; Age + best
A38;1530;2111;2160;2219
A43;5620;5679;5692;5708
A44;1613;2453;2545;2613
A47;1776;2718;2868;2872
A48;14422;19190;20398;20348
A53;6905;10143;10490;10255
A55;1608;2676;2845;2819
A64;1839;3338;3779;3491
A70;38673;45684;47013;45641
A124;36230;70022;86483;74302
S41;1317;1858;1975;1954
S46;1982;2647;2793;2749
S54;1411;2104;2184;2209
S64;1672;2562;2837;2760
S80;1156;2261;2651;2332
S88;2822;5290;5976;5266
S104;2109;4374;5135;4269
S113;2059;5264;6666;5454
S114;2818;6605;8033;6588
S116;3648;7196;8825;7191
