Problem;BestResult;Best; Age; Age + best
A38;1530;2181;2223;2185;2177
A43;5620;5696;5700;5697;5699
A44;1613;2585;2612;2592;2599
A47;1776;2865;2832;2872;2937
A48;14422;20304;20316;20381;20476
A53;6905;10539;10518;10457;10371
A55;1608;2940;2920;2969;3022
A64;1839;3766;3732;3779;3680
A70;38673;47258;47238;47048;47050
A124;36230;86173;85563;81398;85335
S41;1317;1965;1986;1966;1989
S46;1982;2827;2864;2814;2759
S54;1411;2252;2279;2238;2215
S64;1672;2910;2893;2780;2913
S80;1156;2654;2669;2633;2632
S88;2822;6034;5940;5905;6073
S104;2109;5071;5160;5081;5100
S113;2059;6782;6518;6560;6638
S114;2818;8077;7929;8051;7792
S116;3648;8620;8799;8891;8746
