TimeInMilis;Result
41;150852
1325;150852
2406;150852
3308;150852
4127;150852
4867;150852
5522;150852
6109;150852
6621;150852
7076;150852
7472;150852
7824;150852
8131;150852
8390;150852
8605;150852
8783;150852
8939;150852
9058;150852
9152;150852
9225;150852
9278;150852
9316;150852
9341;150852
9356;150852
9363;150852
9365;150852
9394;148291
10538;148291
11604;148291
12493;148291
13309;148291
14040;148291
14712;148291
15296;148291
15804;148291
16278;148291
16678;148291
17027;148291
17329;148291
17585;148291
17801;148291
17979;148291
18131;148291
18251;148291
18349;148291
18423;148291
18477;148291
18514;148291
18539;148291
18553;148291
18560;148291
18562;148291
18585;145829
19649;145829
20621;145829
21501;145829
22305;145829
23014;145829
23684;145829
24261;145829
24776;145829
25246;145829
25647;145829
25991;145829
26294;145829
26549;145829
26766;145829
26944;145829
27097;145829
27218;145829
27312;145829
27384;145829
27438;145829
27476;145829
27500;145829
27514;145829
27521;145829
27524;145829
27546;143443
28609;143443
29586;143443
30490;143443
31284;143443
32002;143443
32671;143443
33259;143443
33771;143443
34232;143443
34647;143443
34993;143443
35297;143443
35551;143443
35765;143443
35950;143443
36106;143443
36226;143443
36320;143443
36394;143443
36449;143443
36487;143443
36511;143443
36525;143443
36532;143443
36534;143443
36557;141089
37634;141089
38605;141089
39517;141089
40335;141089
41098;141089
41752;141089
42349;141089
42873;141089
43344;141089
43741;141089
44095;141089
44403;141089
44661;141089
44875;141089
45053;141089
45205;141089
45324;141089
45419;141089
45492;141089
45545;141089
45583;141089
45607;141089
45621;141089
45628;141089
45631;141089
45654;138773
46714;138773
47685;138773
48573;138773
49378;138773
50118;138773
50772;138773
51353;138773
51884;138773
52401;138773
52835;138773
53216;138773
53535;138773
53791;138773
54004;138773
54183;138773
54335;138773
54458;138773
54554;138773
54627;138773
54680;138773
54718;138773
54742;138773
54756;138773
54764;138773
54766;138773
54788;136788
55867;136788
56838;136788
57731;136788
58582;136788
59308;136788
59966;136788
60556;136788
61073;136788
61532;136788
61930;136788
62282;136788
62591;136788
62851;136788
63067;136788
63245;136788
63397;136788
63520;136788
63614;136788
63690;136788
63745;136788
63783;136788
63808;136788
63823;136788
63830;136788
63832;136788
63855;134841
64918;134841
65883;134841
66818;134841
67631;134841
68372;134841
69028;134841
69615;134841
70142;134841
70600;134841
70996;134841
71348;134841
71651;134841
71905;134841
72126;134841
72308;134841
72461;134841
72580;134841
72678;134841
72751;134841
72804;134841
72842;134841
72867;134841
72881;134841
72888;134841
72890;134841
72913;132954
73982;132954
74962;132954
75866;132954
76673;132954
77394;132954
78078;132954
78662;132954
79207;132954
79664;132954
80066;132954
80430;132954
80733;132954
80992;132954
81212;132954
81396;132954
81545;132954
81667;132954
81761;132954
81833;132954
81886;132954
81924;132954
81952;132954
81966;132954
81973;132954
81976;132954
81998;131089
83068;131089
84035;131089
85088;131089
85957;131089
86712;131089
87367;131089
87968;131089
88487;131089
88951;131089
89358;131089
89705;131089
90020;131089
90285;131089
90501;131089
90679;131089
90828;131089
90948;131089
91048;131089
91135;131089
91200;131089
91238;131089
91264;131089
91278;131089
91285;131089
91287;131089
91311;129296
92390;129296
93375;129296
94281;129296
95086;129296
95821;129296
96488;129296
97077;129296
97613;129296
98072;129296
98482;129296
98842;129296
99145;129296
99403;129296
99621;129296
99798;129296
99946;129296
100068;129296
100164;129296
100238;129296
100292;129296
100330;129296
100355;129296
100369;129296
100377;129296
100379;129296
100403;127514
101472;127514
102456;127514
103359;127514
104169;127514
104889;127514
105578;127514
106188;127514
106725;127514
107179;127514
107574;127514
107919;127514
108239;127514
108510;127514
108726;127514
108906;127514
109059;127514
109179;127514
109272;127514
109346;127514
109400;127514
109439;127514
109465;127514
109480;127514
109487;127514
109489;127514
109514;125903
110611;125903
111602;125903
112508;125903
113351;125903
114089;125903
114760;125903
115373;125903
115928;125903
116417;125903
116858;125903
117253;125903
117591;125903
117881;125903
118124;125903
118306;125903
118456;125903
118578;125903
118677;125903
118752;125903
118808;125903
118847;125903
118872;125903
118886;125903
118893;125903
118896;125903
118920;124369
120025;124369
121049;124369
121953;124369
122775;124369
123519;124369
124182;124369
124770;124369
125295;124369
125760;124369
126157;124369
126504;124369
126812;124369
127069;124369
127285;124369
127468;124369
127618;124369
127740;124369
127834;124369
127911;124369
127965;124369
128003;124369
128028;124369
128043;124369
128051;124369
128054;124369
128079;122887
129330;122887
130691;122887
131710;122887
132611;122887
133481;122887
134752;122887
135731;122887
136512;122887
137287;122887
138025;122887
138655;122887
139034;122887
139390;122887
139611;122887
139798;122887
139966;122887
140106;122887
140205;122887
140278;122887
140334;122887
140378;122887
140406;122887
140422;122887
140429;122887
140431;122887
140455;121518
141581;121518
142642;121518
143594;121518
144543;121518
145338;121518
146070;121518
146679;121518
147222;121518
147777;121518
148215;121518
148575;121518
148882;121518
149153;121518
149373;121518
149554;121518
149704;121518
149825;121518
149919;121518
149993;121518
150048;121518
150093;121518
150118;121518
150132;121518
150139;121518
150142;121518
150164;120201
151263;120201
152297;120201
153251;120201
154128;120201
154928;120201
155623;120201
156266;120201
156811;120201
157318;120201
157753;120201
158140;120201
158463;120201
158737;120201
158973;120201
159176;120201
159337;120201
159457;120201
159552;120201
159626;120201
159680;120201
159719;120201
159744;120201
159759;120201
159766;120201
159769;120201
159791;119078
160913;119078
161974;119078
162931;119078
163784;119078
164651;119078
165477;119078
166099;119078
166674;119078
167140;119078
167548;119078
167909;119078
168215;119078
168473;119078
168691;119078
168872;119078
169021;119078
169142;119078
169237;119078
169310;119078
169365;119078
169405;119078
169429;119078
169443;119078
169451;119078
169453;119078
169476;118083
170599;118083
171596;118083
172507;118083
173350;118083
174154;118083
174866;118083
175505;118083
176039;118083
176512;118083
176921;118083
177284;118083
177606;118083
177865;118083
178086;118083
178265;118083
178419;118083
178540;118083
178638;118083
178713;118083
178766;118083
178804;118083
178828;118083
178842;118083
178850;118083
178852;118083
178876;116904
179964;116904
180964;116904
181866;116904
182701;116904
183449;116904
184146;116904
184766;116904
185320;116904
185789;116904
186209;116904
186605;116904
186924;116904
187208;116904
187433;116904
187628;116904
187777;116904
187897;116904
188000;116904
188074;116904
188128;116904
188170;116904
188197;116904
188211;116904
188219;116904
188238;116904
188276;115943
189432;115943
190421;115943
191319;115943
192169;115943
192973;115943
193690;115943
194293;115943
194943;115943
195523;115943
196001;115943
196398;115943
196821;115943
197128;115943
197369;115943
197556;115943
197718;115943
197871;115943
197974;115943
198051;115943
198112;115943
198150;115943
198174;115943
198189;115943
198195;115943
198198;115943
198222;114965
199356;114965
200369;114965
201278;114965
202107;114965
202858;114965
203535;114965
204130;114965
204665;114965
205132;114965
205546;114965
205899;114965
206210;114965
206471;114965
206689;114965
206870;114965
207019;114965
207140;114965
207233;114965
207306;114965
207361;114965
207400;114965
207424;114965
207439;114965
207446;114965
207448;114965
207471;114211
208550;114211
209544;114211
210465;114211
211294;114211
212032;114211
212717;114211
213329;114211
213862;114211
214326;114211
214729;114211
215088;114211
215398;114211
215662;114211
215876;114211
216059;114211
216210;114211
216330;114211
216426;114211
216498;114211
216552;114211
216590;114211
216614;114211
216629;114211
216637;114211
216639;114211
216664;113549
217739;113549
218761;113549
219713;113549
220549;113549
221289;113549
221952;113549
222568;113549
223100;113549
223575;113549
223997;113549
224358;113549
224682;113549
224958;113549
225182;113549
225375;113549
225531;113549
225667;113549
225762;113549
225835;113549
225889;113549
225927;113549
225951;113549
225966;113549
225973;113549
225975;113549
225998;112899
227087;112899
228072;112899
229014;112899
229953;112899
230734;112899
231448;112899
232068;112899
232603;112899
233074;112899
233523;112899
233881;112899
234186;112899
234465;112899
234684;112899
234864;112899
235012;112899
235135;112899
235230;112899
235302;112899
235357;112899
235395;112899
235419;112899
235434;112899
235441;112899
235443;112899
235467;112167
236548;112167
237567;112167
238496;112167
239311;112167
240049;112167
240729;112167
241313;112167
241842;112167
242303;112167
242716;112167
243066;112167
243371;112167
243636;112167
243867;112167
244047;112167
244197;112167
244325;112167
244423;112167
244497;112167
244552;112167
244590;112167
244615;112167
244630;112167
244637;112167
244640;112167
244663;111549
245741;111549
246728;111549
247634;111549
248483;111549
249258;111549
249948;111549
250560;111549
251090;111549
251555;111549
251963;111549
252333;111549
252663;111549
252923;111549
253144;111549
253336;111549
253526;111549
253658;111549
253772;111549
253849;111549
253908;111549
253953;111549
253981;111549
253996;111549
254003;111549
254005;111549
254029;110989
255132;110989
256177;110989
257108;110989
257960;110989
258719;110989
259376;110989
259974;110989
260500;110989
260965;110989
261371;110989
261729;110989
262039;110989
262300;110989
262521;110989
262710;110989
262858;110989
262978;110989
263078;110989
263150;110989
263205;110989
263243;110989
263267;110989
263282;110989
263289;110989
263291;110989
263314;110461
264401;110461
265390;110461
266286;110461
267105;110461
267840;110461
268513;110461
269108;110461
269633;110461
270095;110461
270509;110461
270872;110461
271178;110461
271445;110461
271661;110461
271850;110461
271998;110461
272127;110461
272221;110461
272294;110461
272348;110461
272393;110461
272418;110461
272432;110461
272439;110461
272442;110461
272465;109959
273540;109959
274536;109959
275498;109959
276392;109959
277215;109959
277875;109959
278478;109959
278999;109959
279468;109959
279878;109959
280231;109959
280538;109959
280800;109959
281016;109959
281208;109959
281358;109959
281479;109959
281574;109959
281647;109959
281700;109959
281738;109959
281763;109959
281777;109959
281784;109959
281786;109959
281811;109467
282885;109467
283871;109467
284774;109467
285579;109467
286326;109467
287001;109467
287597;109467
288132;109467
288597;109467
289009;109467
289374;109467
289684;109467
289945;109467
290160;109467
290353;109467
290506;109467
290627;109467
290722;109467
290796;109467
290849;109467
290887;109467
290911;109467
290925;109467
290932;109467
290934;109467
290958;108973
292038;108973
293022;108973
293933;108973
294764;108973
295505;108973
296177;108973
296785;108973
297306;108973
297784;108973
298194;108973
298548;108973
298856;108973
299115;108973
299333;108973
299517;108973
299668;108973
299789;108973
299885;108973
299957;108973
300011;108973
300049;108973
300074;108973
300088;108973
300095;108973
300097;108973
300120;108516
301214;108516
302197;108516
303100;108516
303927;108516
304674;108516
305337;108516
305934;108516
306461;108516
306927;108516
307338;108516
307699;108516
308008;108516
308271;108516
308491;108516
308673;108516
308826;108516
308947;108516
309041;108516
309115;108516
309171;108516
309210;108516
309235;108516
309250;108516
309257;108516
309260;108516
309285;108015
310450;108015
311542;108015
312481;108015
313538;108015
314484;108015
315270;108015
316186;108015
316775;108015
317275;108015
317821;108015
318218;108015
318571;108015
318842;108015
319095;108015
319300;108015
319527;108015
319656;108015
319763;108015
319855;108015
319921;108015
319964;108015
319989;108015
320003;108015
320010;108015
320012;108015
320036;107538
321262;107538
322353;107538
323357;107538
324237;107538
324993;107538
325850;107538
326470;107538
327023;107538
327526;107538
327981;107538
328347;107538
328661;107538
328936;107538
329156;107538
329337;107538
329488;107538
329608;107538
329704;107538
329776;107538
329830;107538
329870;107538
329894;107538
329909;107538
329916;107538
329918;107538
329941;107054
331055;107054
332045;107054
332956;107054
333786;107054
334534;107054
335210;107054
335804;107054
336352;107054
336825;107054
337235;107054
337594;107054
337917;107054
338188;107054
338415;107054
338599;107054
338751;107054
338874;107054
338970;107054
339043;107054
339099;107054
339137;107054
339163;107054
339177;107054
339184;107054
339187;107054
339210;106604
340296;106604
341309;106604
342217;106604
343045;106604
343795;106604
344483;106604
345080;106604
345635;106604
346111;106604
346522;106604
346887;106604
347206;106604
347479;106604
347749;106604
347961;106604
348113;106604
348236;106604
348330;106604
348412;106604
348467;106604
348505;106604
348531;106604
348545;106604
348552;106604
348554;106604
348577;106223
349650;106223
350655;106223
351547;106223
352375;106223
353126;106223
353821;106223
354423;106223
354963;106223
355439;106223
355850;106223
356221;106223
356530;106223
356789;106223
357009;106223
357196;106223
357349;106223
357474;106223
357570;106223
357643;106223
357704;106223
357741;106223
357767;106223
357783;106223
357789;106223
357792;106223
357815;105810
359002;105810
360032;105810
360933;105810
361755;105810
362508;105810
363182;105810
363786;105810
364314;105810
364786;105810
365196;105810
365564;105810
365874;105810
366141;105810
366361;105810
366567;105810
366716;105810
366836;105810
366931;105810
367003;105810
367058;105810
367097;105810
367122;105810
367136;105810
367143;105810
367145;105810
367168;105467
368252;105467
369257;105467
370160;105467
370994;105467
371746;105467
372414;105467
373024;105467
373572;105467
374038;105467
374452;105467
374815;105467
375122;105467
375383;105467
375603;105467
375788;105467
375937;105467
376058;105467
376152;105467
376225;105467
376280;105467
376318;105467
376344;105467
376358;105467
376365;105467
376367;105467
376391;105104
377481;105104
378485;105104
379392;105104
380203;105104
380964;105104
381625;105104
382221;105104
382747;105104
383224;105104
383641;105104
383995;105104
384310;105104
384570;105104
384789;105104
384970;105104
385120;105104
385240;105104
385334;105104
385408;105104
385461;105104
385499;105104
385525;105104
385539;105104
385546;105104
385548;105104
385572;104728
386688;104728
387692;104728
388590;104728
389432;104728
390172;104728
390843;104728
391434;104728
391957;104728
392427;104728
392832;104728
393191;104728
393500;104728
393761;104728
393980;104728
394165;104728
394314;104728
394438;104728
394533;104728
394606;104728
394659;104728
394698;104728
394724;104728
394738;104728
394745;104728
394747;104728
394771;104391
395868;104391
396873;104391
397880;104391
398776;104391
399529;104391
400198;104391
400796;104391
401326;104391
401799;104391
402212;104391
402579;104391
402887;104391
403148;104391
403376;104391
403565;104391
403727;104391
403847;104391
403942;104391
404015;104391
404069;104391
404106;104391
404131;104391
404146;104391
404153;104391
404155;104391
404179;104064
405328;104064
406355;104064
407259;104064
408080;104064
408830;104064
409504;104064
410098;104064
410636;104064
411110;104064
411521;104064
411887;104064
412203;104064
412467;104064
412691;104064
412872;104064
413020;104064
413141;104064
413243;104064
413318;104064
413372;104064
413411;104064
413436;104064
413451;104064
413458;104064
413460;104064
413483;103687
414608;103687
415618;103687
416543;103687
417390;103687
418152;103687
418836;103687
419443;103687
419978;103687
420455;103687
420866;103687
421219;103687
421525;103687
421785;103687
422005;103687
422189;103687
422343;103687
422464;103687
422560;103687
422633;103687
422687;103687
422726;103687
422750;103687
422765;103687
422772;103687
422774;103687
422797;103360
423980;103360
424966;103360
425890;103360
426844;103360
427627;103360
428347;103360
429051;103360
429635;103360
430170;103360
430622;103360
431003;103360
431330;103360
431592;103360
431822;103360
432006;103360
432156;103360
432277;103360
