ProblemName;0;10;20;30;40;50;60;70;80;90;100
S198;168817;22406;16608;16543;16543;16543;16543;16543;16543;16543;16543
S292;280006;75496;36129;28182;27633;27633;27633;27633;27633;27633;27633
S124;92004;14959;14338;14338;14338;14338;14338;14338;14338;14338;14338
A53;22690;13277;13277;13277;13277;13277;13277;13277;13277;13277;13277
S170;160078;29060;19413;19413;19413;19413;19413;19413;19413;19413;19413
S100;146507;24055;24055;24055;24055;24055;24055;24055;24055;24055;24055
S299;701296;171723;76448;55849;54131;54131;54131;54131;54131;54131;54131
S222;222903;40551;21914;20807;20807;20807;20807;20807;20807;20807;20807
S91;62575;11640;11452;11452;11452;11452;11452;11452;11452;11452;11452
A48;41106;15365;15365;15365;15365;15365;15365;15365;15365;15365;15365
